Country Name,Country Code,Indicator Name,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
European Union,EUU,Electric power consumption (kWh per capita),2763.64979053942,2967.14006665744,3185.02091512778,3298.25116675233,3308.57410470541,3581.82604217553,3683.42068008208,3873.34870420533,4038.28251148004,4132.70852206102,4163.95769077666,4187.17359928663,4313.49295730545,4516.97149225873,4698.91287535504,4808.56612058322,4966.74087870169,5088.1658952065,5191.76050134965,5133.80962888382,5150.26989272676,5110.25184679477,5065.95255189078,5133.28746237245,5256.12707751649,5388.2921383205,5448.75248155692,5541.75968104935,5624.42840508796,5780.1969699565,5916.93386563122,5996.40114418625,6127.24417378775,6242.21840590432,6295.43764679743,6380.76081095512,6405.55173238631,6409.24415100947,6082.50334624163,6350.40804422026,6247.77722531418,6248.06385564895,6160.73241428551,6021.86082034183
United States,USA,Electric power consumption (kWh per capita),7517.30464555213,8076.40926935244,8573.19415409445,8449.92845586241,8522.39400295407,8968.7756552847,9337.72401799863,9560.5454096188,9700.69538557241,9862.36549675432,9976.69371497302,9544.46094343532,9742.00571448125,10282.3746422135,10414.2078983205,10424.4272965398,10886.8582560496,11298.3325085174,11531.9323066701,11713.3317042099,12134.1721315039,12014.9582478929,12261.5237824091,12455.1621656545,12659.607628118,12854.2989079193,12889.8322801175,13154.7630268185,13281.8699827982,13671.0520240061,13046.6141478464,13296.1822993023,13307.4920085002,13388.5897105591,13704.5770481407,13583.2669593387,13657.4528282523,13663.4279681827,12913.7146883015,13394.9027551068,13245.8819278677,12964.1879389302,13004.0235689845,12993.9655794706
East Asia & Pacific,EAS,Electric power consumption (kWh per capita),471.981626817575,510.20167976148,551.526125917308,545.772065286916,572.727158411926,602.638035044412,631.512610667832,673.231460720252,708.220746089331,711.772331544504,718.325839567605,726.278714771829,763.778327258202,800.058771293076,834.899794448081,861.9219017256,918.346971589506,973.643708852004,1025.66401029231,1094.99735937408,1141.96572705119,1187.06101226605,1242.29022718175,1333.72338677834,1387.09078203331,1449.42922841214,1499.00348512136,1513.02534941568,1565.31044203555,1664.54485726584,1726.61105098686,1825.37801547925,1947.98157644697,2113.36444044203,2260.04056032898,2433.52033750442,2645.08785710788,2699.32458186818,2794.55727893727,3075.40023904531,3273.04558239613,3386.16308643113,3571.56590131387,3665.12829781601
